text;,sentimiento
"RT @Marianiniecheve: Más incendiario que el cuñado de Duque @NestorMoralesC preguntándole a @petrogustavo que si \va a incendiar éste país?…""";,-1
RT @carloshugomonc1: @nicolasAmon @petrogustavo Qué  cobarde  matoneo de todas las aristas en contra  de PETRO¡ Aún así es imparable¡;, 1
RT @BluRadioCo: #AlAire “No vamos a quitar la propiedad privada no vamos a expropiar a nadie nunca lo hice como alcalde de Bogotá”: @petr…;, 1
RT @ClaudiaLopez: Qué tal esto. Gustavo Bolívar volvió “delito” criticar las propuestas o pronunciamientos de Petro....si eso es simplement…;, 1
RT @PaisPrimero: Nos vemos en la segunda vuelta @sergio_fajardo y @ClaudiaLopez @petrogustavo y @angelamrobledo @DeLaCalleHum y @ClaraLop…;, 1
 debe mostrar su declaración de renta como el resto de candidatos lo hizo.;,-1
El morado y entre más clarito más lo detesto;,-1
"RT @EIExpedienteCol: \Cuando mi papá gane la presidencia le pago los $120 millones\"" Nicolas Petro cuadra sus cuentas para luego de eleccion…""";,-1
El pobre Nestor estaba descompuesto https://t.co/RHPmwV5tSJ;,-1
Votando en la página #4EYBogota #MTVLADUROYATRA #PremiosMTVMiaw https://t.co/fsjs69IuJ4;, 1
RT @DanielSamperO: Gracias a @DeLaCalleHum @sergio_fajardo y @petrogustavo por asistir ayer a #YoutubersVsCandidatos: ejemplar su compromi…;, 1
 @ELIZABETHLIZA16 @Alberto_gabeto @petrogustavo @PizarroMariaJo @angelamrobledo @progresistascol Ya somos dos en un mismo pensar.;, 1
 @petrogustavo @angelamrobledo @charry_manager @gerapo2006 @PizarroMariaJo @GiordanoBrunoFi… https://t.co/flFMUCvZTb;,-1
RT @johncol86: @petrogustavo @HOLLMANMORRIS desde Milan Italia #Petropresidente #ColombiaHumana https://t.co/ljf4Nmh099;, 1
"RT @tikopineda: ULTIMA HORA

Cierran cuenta de Twitter de alias “Popeye” por amenazas contra el candidato presidencial @petrogustavo . 

AT…";, 1
 @VLADDO @petrogustavo 😆😆😆😆😆� � � � � � en cuerpo ajeno bobita sino;,-1
 Que suerte tienen de disfrutar de las maravillas infinitas del placer;, 1
 @RevistaSemana @petrogustavo No se desgaste es mucho pedirle a ese tipo�;, 1
RT @SoloDimeTavo: Vamos por una @ColombiaHumana_ por esa razón mi voto es por @petrogustavo  por nuestra ViceHermosa @angelamrobledo . #Pe…;, 1
 @petrogustavo Está visto q los honra y su intención es revivirlo no en vano izaron una bandera de e… https://t.co/JVa4BF5795;,-1
Aunque le duela a la voluble @ClaudiaLopez dices la verdad. https://t.co/C4uDlMIpVT;, 1
 @CesarPachonAgro @GustavoBolivar @AidaAvellaE @EdgMauGarcia @MMMaldonadoC @angelamrobledo… https://t.co/XNvjoQwvRq;, 1
 @BluRadioCo @petrogustavo Cizaña que irrespetuoso los panelistas de Blu no son mamertos son personas estu… https://t.co/nW5sBMtxeW;, 1
 Por algunos lados están relajados jajaja https://t.co/SPoKNuCoUJ;,-1
RT @JuanSLopezM: “Tengo entendido que @petrogustavo no ha presentado su declaración de renta. Todos debemos presentar la declaración de ren…;,-1
Este partido vale mierdas a menos que nos hagan 1 gol.;,-1
"https://t.co/Z2QjQ6H16c
La nueva emisora Duquista.";, 1
RT @PompasticMr: Denuncia electoral @moecolombia @Registraduria @FiscaliaCol @CancilleriaCol en consulado de Chile no permiten ser testigos…;, 1
RT @gerapo2006: Les presento al profesor @charry_manager quien hizo parte del equipo técnico encargado de diseñar las propuestas agrarias d…;, 1
RT @gerapo2006: Les presento al profesor @charry_manager quien hizo parte del equipo técnico encargado de diseñar las propuestas agrarias d…;,-1
 @wilberpreciado @petrogustavo @German_Vargas Por GUSTAVO PETRO.;, 1
"RT @VLADDO: Es ingenuo —absurdo incluso— pensar que el antídoto contra @AlvaroUribeVel es @petrogustavo; y viceversa.
Esa no puede ser la…";,-1
Tareas 🤨 #Gordi (@ Comercial Papelera in Bogotá Distrito Capital) https://t.co/iKIomnMM0c;, 1
RT @cmbustamante: El sr @petrogustavo escupió para arriba y le cayó en la cara. Tanto que ha difamado de los hijos de Uribe y nunca nadie…;,-1
Que dice Cesar Gaviria d liberales canadienses con @petrogustavo.? por que a @DeLaCalleHum no le dió permisito para… https://t.co/E14SmxLW2v;,-1
 @BluRadioCo @petrogustavo Los últimos años se realizó una actualización catastral impuesta por el gobier… https://t.co/yaECcvFCZX;, 1
RT @carlosfgalan: Se quejan porque @German_Vargas no muestra sus emociones pero callan cuando @petrogustavo no muestra su declaración de re…;,-1
" @petrogustavo Claro y esto ustedes dirán \ ES UN MONTAJE\"" https://t.co/ePsYBwmzo0""";, 1
 Estas deprimida?;,-1
"RT @CaracolRadio: Esto han gastado las campañas presidenciales

@IvanDuque $14348714151
@German_Vargas $9882268484
@DeLaCalleHum $96…";,-1
RT @cefeal1966: @CRSA78 @BluRadioCo @petrogustavo Cizaña que irrespetuoso los panelistas de Blu no son mamertos son personas estudiosas q…;, 1
 :( SOMOS 2 AMOR;, 1
"Ella &amp; Yo 🎵";,-1
RT @angelamrobledo: Periodistas de @BluRadioCo a tomar goticas de https://t.co/yMOR9KD9RO lograron arrinconar a @petrogustavo entre el cuña…;, 1
Muy buena la apuesta de @teatromayor para democratizar el acceso a la cultura con el #TeatroDigital. Lo llaman… https://t.co/cV0hBx3gT5;, 1
"RT @CarrillonavasG: #DebateEnAntioquia #MananasBLU \Prefiero un líder con convicciones profundas a un populista con fanatismos\"" @IvanDuque…""";, 1
RT @manuelzan: @CHC31 @petrogustavo @IvanDuque @MariaConchita_A @AlvaroUribeVel @alcaldeledezma @TemplarioResisT @Almagro_OEA2015 @PanAmPos…;,-1
El Centro Democrático tiene claro que la costumbre es Fuente del Derecho. Están acostumbrados a que el asesinato de… https://t.co/9Mq46UWsAI;, 1
 @ed78_75 @JGranadosPena @Popeye_leyenda @AlvaroUribeVel @petrogustavo @IvanCepedaCast @FiscaliaCol… https://t.co/J1r5D3iVvP;, 1
RT @MovimientoMAIS: Estamos desde la sabiduria ancestral y por nuestras semillas de paz con @petrogustavo porque #PetroEsMais @marthaperalt…;, 1
RT @JuanRealDC: No pues Petro salió más torturado que José Raquel Mercado el sindicalista al que el M-19 secuestró torturó mató y arroj…;,-1
RT @mafa0512: @Richard50UN @goez_jaquelina @EIExpedienteCol @PaolaHolguin @petrogustavo Busque en la pagina de la rama judicial el proceso…;,-1
RT @angelamrobledo: A los maestros y maestras les cumpliremos en la Colombia Humana vamos a dignificar su labor. Hoy @petrogustavo se reun…;, 1
RT @RevistaSemana: #ColombiaDecide | @petrogustavo llena plazas públicas y seduce a muchos jóvenes con un discurso contra la política tradi…;, 1
RT @kilm24: @rvargas1076 @EIExpedienteCol @petrogustavo La Dian esperando a Petrosky 🤣�🤣�🤣�🤣�🤣 https://t.co/ohIjK4Nmvx;, 1
RT @CanalCapital: Esta noche en #OpinaBogotá entrevista a fondo con @angelamrobledo fórmula vicepresidencial de @petrogustavo. No se lo pi…;, 1
RT @CesarPachonAgro: Nunca imaginé como Campesino que pudiera estar compartiendo un sueño de país al lado de un gran hombre y un gran equip…;, 1
RT @lasillavacia: . @petrogustavo es el único candidato presidencial que no ha revelado su declaración de renta más reciente. Eso deja vari…;, 1
"RT @andresportillo_: \Cuando mi papá gane la presidencia le pago los $120 millones\"": @nicolaspetroB";,-1
"El hijo del candidato @petrogustavo ac…""";, 1
 @LuisCar80177716 @Xx41032218 @mluciaramirez @BluRadioCo @petrogustavo Eso le digo de argumentos de peso no mediocridades�;, 1
"El sol de nuestra campaña Ángela María Robledo a las 8:30pm en @CanalCapital.
#ÁngelaMaríaEnCapital https://t.co/zWmNmCZWWM";, 1
RT @_El_Patriota: Los JURADOS en las mesas de votación respaldan a @petrogustavo  para las elecciones: https://t.co/kYIkJuLNun;, 1
RT @ManosLimpiasCo: ATENCION: Alejandra Barrios directora de @moecolombia confirma que lo que dice @petrogustavo. La @Registraduria debe p…;, 1
 @German_Vargas @petrogustavo al mejor estilo de la alcaldia de Bogota;, 1
 @unisalle @petrogustavo @IvanDuque @sergio_fajardo @DeLaCalleHum @German_Vargas Expertos decentes comunis… https://t.co/2dPj8Nf0j7;, 1
 @petrogustavo Eres inmenso gustavo !! Jajajaja;, 1
RT @smilelalis: A mi me demuestran con pruebas que @petrogustavo es un corrupto y ese mismo día lo dejo de apoyar pero salir con bobadas c…;,-1
RT @MargaritaRepo: Una prueba más de que muchos quieren llegar a la presidencia a robar. Como lo hacen todos los líderes del Socialismo del…;,-1
 @petrogustavo Se puede deber injustamente no? 😲😓;, 1
RT @rudolph_s_a: Los que vamos a votar por @petrogustavo no somos de extrema izquierda. Somos de extrema indignación por estos 200 años de…;, 1
RT @Noimporta28: A ver queridos el petroleo no se puede sembrar el petroleo se acaba. Por eso a lo que le debemos apostar es a la agricul…;, 1
"RT @angelamrobledo: Según el Observatorio Rural tenemos la mejor propuesta rural y agraria para el país. 

La Colombia rural sabe que pued…";, 1
RT @MovimientoMAIS: Estamos desde la sabiduria ancestral y por nuestras semillas de paz con @petrogustavo porque #PetroEsMais @marthaperalt…;, 1
No puedo ver el final de temporada de scandal sin mi tía es por aquello de tener lealtad y de que no podré fangirlear con alguien.;, 1
RT @cmbustamante: El sr @petrogustavo escupió para arriba y le cayó en la cara. Tanto que ha difamado de los hijos de Uribe y nunca nadie…;,-1
RT @Robinso35016836: #PetroEnBLU Gracias periodistas de Blu ustedes contribuyen con sus sesgos y odios a darle la razón a los millones de…;, 1
RT @pedrogarciao: Me entero leyendo prensa que @petrogustavo mismo que vio los anaqueles de los supermercados llenos en Caracas y quiere s…;,-1
RT @felipegarzon_19: Están más preocupados y asustados porque @petrogustavo llama a llenar las plazas y esperar los resultados de las vota…;, 1
RT @angelamrobledo: Agradezco invitacion en Asamblea de @Fecode y @CarlosRivas su presidente para saludar y presentar propuesta educativa d…;, 1
RT @lasillavacia: . @petrogustavo es el único candidato presidencial que no ha revelado su declaración de renta más reciente. Eso deja vari…;,-1
RT @pedrogarciao: Me entero leyendo prensa que @petrogustavo mismo que vio los anaqueles de los supermercados llenos en Caracas y quiere s…;,-1
RT @A_OrdonezM: Petro es Maduro. No se dejen engañar. Si no estuviera a pocos días de elecciones el comandante Aureliano estaría festejand…;, 1
RT @Colombianisima3: Si me preguntan quien es mas CRIMINALES entre @Popeye_leyenda o los terroristas @FARC_EPuebIo @IvanCepeda @petrogustav…;,-1
RT @RevistaSemana: #ColombiaDecide | @petrogustavo llena plazas públicas y seduce a muchos jóvenes con un discurso contra la política tradi…;, 1
 ¿Qué ocultará... @petrogustavo? seguidores sin argumentos sobre el tema. https://t.co/XAyLwj3TXi;,-1
RT @MOinternationa: #Petro implacable a la hora de atacar a @AlvaroUribeVel y a  sus hijos pero irónicamente él NO enseña su Declaración…;, 1
"RT @Sergio_1193: Me lavé pero firme votando por @petrogustavo desde Alemania.
#PetroPresidente https://t.co/U10qlltoiP";, 1
"RT @CaracolRadio: #EleccionesColombia | @petrogustavo es el único candidato que no ha hecho pública su declaración de renta

---&gt; https://t…";,-1
RT @graffitiborrao: Alejandra Barrios directora de la MOE-Misión de Observación Electoral le da la razón a @petrogustavo no se hizo audi…;,-1
 @elsemblante @pensando_inc @JulioHRpo @petrogustavo Tontos nos tomo Uribe y los que puso por 16 año… https://t.co/XMZINTPQ2Z;,-1
RT @kilm24: @rvargas1076 @EIExpedienteCol @petrogustavo Noticia en burro ese apartamento está más declarado y esculcado  que la declaración…;, 1
RT @BluRadioCo: #AlAire “No vamos a quitar la propiedad privada no vamos a expropiar a nadie nunca lo hice como alcalde de Bogotá”: @petr…;, 1
RT @AdamSmithFree: Por respeto a las víctimas del M-19 es INACEPTABLE que @petrogustavo traiga el discurso de Bateman y del grupo M-19 an…;,-1
RT @Jessica_Harman1: #PetroEnBLU esperaron a que @petrogustavo que saliera para compararlo y hablar mal de el yo creo en el periodismo impa…;, 1
Pongamole ambiente a esta Noche Tan Fria 😣🏙�;, 1
RT @ClaudiaLopez: Respira querido. Los 43 millones de ciudadanos que firmamos la #ConsultaAnticorrupcion  buscamos transparencia de los qu…;, 1
"RT @luismorales0621: Hoy en @BluRadioCo @petrogustavo afirmó que entregó los hospitales distritales con \superávit\"". No es posible hablar d…""";, 1
"RT @GustavoRugeles: \Cuando gane la presidencia le pago los $120 millones\"". @nicolaspetroB cuadra sus cuentas para luego de elecciones.";,-1
"E…""";, 1
RT @HOLLMANMORRIS: Cuando @petrogustavo entregó viviendas en Bogotá. Ahora lo hará en todo Colombia. https://t.co/Q9MYx5mEo9;, 1
RT @VLADDO: Que @petrogustavo no divulgue su declaración de renta no sólo es una decisión torpe y arrogante sino que no es coherente con s…;,-1
 @parece que en el grupo de los súbditos de Uribe no hay una persona con voluntad propia. Primero fue Ari… https://t.co/lYMunfOdD6;, 1
RT @MoliNueve: Esto me acaba de dar un miedo terrible.. https://t.co/YLj84H00WA;,-1
RT @HOLLMANMORRIS: Cuando @petrogustavo entregó viviendas en Bogotá. Ahora lo hará en todo Colombia. https://t.co/Q9MYx5mEo9;, 1
RT @AlejoCons: Acabo de escuchar está entrevista jajajaja la peinada de @petrogustavo a @NestorMoralesC es increíble. El cuñado insistía en…;, 1
Hola @petrogustavo. Algunos de tus electores del domingo queremos que muestres tu declaración de renta. ¡No te vamos a expropiar el voto!;, 1
RT @DanielRMed: ¿Qué sentirán los del MIRA al darse cuenta que es @petrogustavo y no Duque quien reclama que la Registraduría cumpla el fal…;, 1
RT @EdgMauGarcia: Somos jóvenes comprometidos con un ideal de cambio y progreso para Colombia que vemos en @petrogustavo la única opción d…;, 1
RT @fzciudadana: Desde Aracataca Magdalena corremos la voz a todo el Caribe Colombiano para salir este 27 de Mayo a votar por @petrogusta…;, 1
RT @ClaudiaLopez: De acuerdo! Es inaceptable que Popeye amenace a los petristas o a cualquiera. Si a @IvanDuque le queda grande descalifica…;, 1
RT @VLADDO: Que @petrogustavo no divulgue su declaración de renta no sólo es una decisión torpe y arrogante sino que no es coherente con s…;, 1
RT @Davidzoot2: #yoapoyoapetroX por es el presidente de los pobres: la clase trabajadora muestra su apoyo a @petrogustavo y @angelamrobledo…;, 1
RT @ClaudiaLopez: Qué tal esto. Gustavo Bolívar volvió “delito” criticar las propuestas o pronunciamientos de Petro....si eso es simplement…;, 1
Es como localista el arbitrico no??;,-1
"RT @GustavoRugeIes: #Daro Casi linchan a @petrogustavo a su llegada a Cartagena; esto es lo qué pasa siempre pero él dice que es apoyo popu…";,-1
RT @graffitiborrao: Alejandra Barrios directora de la MOE-Misión de Observación Electoral le da la razón a @petrogustavo no se hizo audi…;, 1
RT @juliantrianana: De las cosas buenas que dejó #YoutubersVsCandidatos fue la respuesta clara de @petrogustavo a quienes preguntan de dónd…;, 1
"RT @don_cacl: \Cuando mi papá gane la presidencia le pago los $120 millones\""";,-1
"RT @OscarG_Sanchez: Esto hay que leerlo. Semana reconoce los 48 colegios de @petrogustavo: 18 construídos 7 comprados y 23 en obra.

Gusta…";, 1
RT @VLADDO: Que @petrogustavo no divulgue su declaración de renta no sólo es una decisión torpe y arrogante sino que no es coherente con s…;,-1
RT @AdamSmithFree: @kapecho89 @BluRadioCo @mpatino89 @petrogustavo Sí claro! https://t.co/tPoupkXAL8;, 1
RT @angelamrobledo: Pregunta el Padre Linaros en el clima del Amor que siempre convoca sobre la reconciliacion en Colombia a @petrogustavo…;, 1
RT @smilelalis: A mi me demuestran con pruebas que @petrogustavo es un corrupto y ese mismo día lo dejo de apoyar pero salir con bobadas c…;, 1
....siiiiiiiiiiiiiii cómo noooooooooo.... https://t.co/LqW01FEKS7;, 1
Lo que más amo de una mujer es que sea decidida y arriesgada 😌💚;, 1
 @petrogustavo Sin palabras. Eso quiere decir que no ha tenido un buen referente un padre ejemplar… https://t.co/xYD3uvdzQw;,-1
RT @Garcia20Miguel: Vergüenza de Algunos SEUDO PERIODISTAS @BluRadioCo @lafm @WRadioColombia @NoticiasCaracol @CMILANOTICIA @NoticiasUno @r�;, 1
"RT @VLADDO: Es ingenuo —absurdo incluso— pensar que el antídoto contra @AlvaroUribeVel es @petrogustavo; y viceversa.
Esa no puede ser la…";,-1
RT @joaquinroblesza: Quedaron al descubierto las canallas que se avecinan en las elecciones del próximo domingo denunciadas por  @petrogust…;, 1
"RT @Eleccionescolom: En un escenario de segunda vuelta por quién votaría?

🔁 @sergio_fajardo 
❤ @petrogustavo https://t.co/9ZDZmgusFb";, 1
 @FrankBedoya13 @IvanDuque @Bogotahumana2 @petrogustavo @GustavoBolivar @gener_usuga @nicolaspetroB… https://t.co/PFR8h7owAz;,-1
RT @Yolycol: @AdamSmithFree @petrogustavo Está visto q los honra y su intención es revivirlo no en vano izaron una bandera de ese grupo te…;,-1
"RT @EIExpedienteCol: \Cuando mi papá gane la presidencia le pago los $120 millones\"" Nicolas Petro cuadra sus cuentas para luego de eleccion…""";,-1
"RT @Eleccionescolom: En un escenario de segunda vuelta por quién votaría?

🔁 @sergio_fajardo 
❤ @petrogustavo https://t.co/9ZDZmgusFb";, 1
" @petrogustavo Alguien que se hace llamar Gatus Petrus \Gatrosky\"" me llama tinto JAJAJAJAJAAJAJAJAJAJAJAJ… https://t.co/FyOIdElvAL""";,-1
"RT @Eleccionescolom: En un escenario de segunda vuelta por quién votaría?

🔁 @petrogustavo 
❤ @German_Vargas https://t.co/LOfplaEexZ";,-1
RT @elespectador: La prohibición al porte de armas de fuego que llevó a la reducción de la tasa de homicidios en Bogotá es uno de los log…;,-1
RT @pedrogarciao: Me entero leyendo prensa que @petrogustavo mismo que vio los anaqueles de los supermercados llenos en Caracas y quiere s…;,-1
RT @lasillavacia: . @petrogustavo es el único candidato presidencial que no ha revelado su declaración de renta más reciente. Eso deja vari…;,-1
 @petrogustavo @ColombiaHumana_ @progresistascol Que tristeza ojalá el día q estén buscando comida e… https://t.co/mU5cFApNUj;,-1
RT @elespectador: La prohibición al porte de armas de fuego que llevó a la reducción de la tasa de homicidios en Bogotá es uno de los log…;, 1
Entonces pusieron a tapar a Armani en River sería una lástima que�;, 1
También la he visto con Fajardo DelaCalle Vargas… https://t.co/SVzVsHLGQV;, 1
RT @gerapo2006: Según el observatorio rural de la Universidad la Salle la propuesta de @petrogustavo es la mejor calificada. Ésto no sólo i…;, 1
RT @Antequerajose: Por ética y derecho tenemos que rechazar esa práctica en @BluRadioCo de poner palabras en las bocas de @petrogustavo y…;, 1
 @LuisCar80177716 @Xx41032218 @mluciaramirez @BluRadioCo @petrogustavo Fechas y lugares con nombre pro… https://t.co/T2Oiv9SmDG;, 1
RT @Harly77298317: @petrogustavo @GustavoBolivar @HOLLMANMORRIS  desde italia creemos en la Colombia Humana Petro Presidente! https://t.co…;, 1
 @Colombia_Vital @petrogustavo @periodista19 @DavidRacero @jerojasrodrigue @GloriaFlorezSI @UP_Colombia… https://t.co/CTig8qmLmf;, 1
RT @Jeskaze: A alias Nayibe le va a dejar de parecer importante que @petrogustavo publique su declaración de renta una vez que se consolide…;, 1
RT @Colombianisima3: @rvargas1076 @EIExpedienteCol @petrogustavo Están desesperados los ñeros petristas. Cuando se es honorable se puede de…;, -1
 @petrogustavo jajajajaj ���� que desilusion te vas a llevar;,-1
 @petrogustavo Jjjjjjaaaaaaaaa farczante como ya quedo elegido pues le conviene sigue financiandole la campaña;,-1
La altura de la cámara de hoy era vs River @CSEmelec;, 1
RT @blancaduranh: La imagen perfecta de las diferencias entre las campañas de @IvanDuque y @petrogustavo https://t.co/PJ0vf50FTP;, 1
RT @pierrealee: Gran apoyo recibe @petrogustavo de sectores del @PartidoLiberal. ideas de Rafael Uribe Uribe Jorge Eliecer Gaitán y Luis C…;, 1
"RT @evapalie: #YoutubersVsCandidato
El asunto con @petrogustavo @sergio_fajardo &amp; @DeLaCalleHum es que debieron unir las campañas y así le…";, 1
RT @BluRadioCo: #AlAire “No vamos a quitar la propiedad privada no vamos a expropiar a nadie nunca lo hice como alcalde de Bogotá”: @petr…;, 1
RT @pedrogarciao: Me entero leyendo prensa que @petrogustavo mismo que vio los anaqueles de los supermercados llenos en Caracas y quiere s…;,-1
RT @GusabioPiedro: No amabamos la gente. Amábamos su voto. https://t.co/d7FM35Et8A;, 1
Broo pa q me das unfollow jajajajaja;, 1
RT @pedrogarciao: Me entero leyendo prensa que @petrogustavo mismo que vio los anaqueles de los supermercados llenos en Caracas y quiere s…;,-1
RT @PetroskyMyLord: El día que me volví petrista ya hace casi cuatro años el día que vi la sonrisa de mi hija empuñando un violín gracia…;, 1
RT @cmbustamante: El sr @petrogustavo escupió para arriba y le cayó en la cara. Tanto que ha difamado de los hijos de Uribe y nunca nadie…;,-1
RT @lasillavacia: . @petrogustavo es el único candidato presidencial que no ha revelado su declaración de renta más reciente. Eso deja vari…;,-1
 Excelente!;, 1
RT @graffitiborrao: Alejandra Barrios directora de la MOE-Misión de Observación Electoral le da la razón a @petrogustavo no se hizo audi…;, 1
RT @RevistaSemana: #Confidenciales | @ClaudiaLopez le pide a @petrogustavo su declaración de renta https://t.co/tJNS0rpJWF https://t.co/CQQ…;, 1
RT @lasillacaribe: #Elecciones2018 Mientras @petrogustavo propone cambiar el modelo energético los otros proponen de diferentes maneras …;, 1
RT @JuanRealDC: No pues Petro salió más torturado que José Raquel Mercado el sindicalista al que el M-19 secuestró torturó mató y arroj…;,-1
RT @jerojasrodrigue: “Hoy el Acuerdo sobre lo Fundamental es Colombia Humana los conservadores aceptamos el llamado de @petrogustavo a la…;, 1
 @Kronnomc Espero que les haya ido muy bien espero verlo pronto los amooo😘💜💜👑👑;, 1
"RT @Davidzoot2: @A_OrdonezM @andres791126 Yo me la juego con el equipo de @petrogustavo #SoloPetroLeGanaADuque
Jamás votaré a la corrupció…";, 1
Aveces votar se vuelve adicción � #MTVLAVIDEONOHAY #PremiosMTVMiaw https://t.co/Yw7ClsXkyN;, 1
"RT @Eleccionescolom: En un escenario de segunda vuelta por quién votaría?

🔁 @sergio_fajardo 
❤ @petrogustavo https://t.co/9ZDZmgusFb";, 1
 @petrogustavo La amo tanto que la multiplicó por 10;, 1
RT @carlosfgalan: ¿Por qué @petrogustavo no ha publicado su declaración de renta? Es un acto de transparencia que los demás candidatos ya h…;, 1
 @AlvaroUribeVel @petrogustavo Yo le voy a pedir a duque que investige pos vienes y el financiamiento de… https://t.co/O59IQbZz5g;, 1
RT @ClaudiaLopez: Los amaba tanto que disparó la pobreza y miseria en Venezuela https://t.co/qM7cABnFDn;,-1
RT @charry_manager: Orgulloso puedo decir q parte de mi trabajo junto a otros expertos está contenido en este punto del programa de #PetroP…;, 1
"No voy a recibir esos 50mil 
No voy a recibir esos 50mil 
No voy a recibir esos 50mil 
@petrogustavo… https://t.co/vkCqAyUejV";,-1
RT @VLADDO: Que @petrogustavo no divulgue su declaración de renta no sólo es una decisión torpe y arrogante sino que no es coherente con s…;, 1
RT @saludhernandezm: Pregunta a @petrogustavo : Si voy a la plaza el domingo a las 4.30 cargo piedras? Llevo pancartas de “Nos robaron”? Q…;,-1
 Jajajajaja bebiendo 🍻 y tan temprano como haces eso?;,-1
"Esta mañana escuché la entrevista q le hizo arizmendi al candidato @sergio_fajardo y se les \OLVIDÓ\"" preguntarle… https://t.co/DdeejJcaLM""";,-1
RT @ClaudiaLopez: De acuerdo! Es inaceptable que Popeye amenace a los petristas o a cualquiera. Si a @IvanDuque le queda grande descalifica…;,-1
RT @AUGUSTOOCAMPO: Y la sanión disciplinaria que procede ??? ahhh no verdad que no es @petrogustavo   https://t.co/DDMPT7YulY vía @elespect…;,-1
RT @crispin_fajardo: Ejerci mi derecho por un pais mejor #YoVotoPetro desde los Estados Unidos @petrogustavo. No mas @IvanDuque no mas urib…;, 1
RT @jerojasrodrigue: “Hoy el Acuerdo sobre lo Fundamental es Colombia Humana los conservadores aceptamos el llamado de @petrogustavo a la…;, 1
RT @frajama5713: Los estudiantes de la @UnivalleCol ya están cumpliendo las órdenes de su mentor @petrogustavo atacando al pueblo como terr…;, 1
 @petrogustavo Umm ya pero no supo ni que decir cuando le preguntaron sobre su declaración de renta.;,-1
RT @Sachaka7: @AlirioUribeMuoz @Registraduria @jortegon @dianamotavo @petrogustavo @angelamrobledo @jairoriverah @Movicecol @pierrealee @Pr…;, 1
RT @graffitiborrao: Alejandra Barrios directora de la MOE-Misión de Observación Electoral le da la razón a @petrogustavo no se hizo audi…;, 1
RT @PompasticMr: ¿Que pasa @CancilleriaCol con esta situación?  ¿Es una trampa de la @Registraduria? Ayuda por favor @moecolombia y @Fiscal…;, 1
 @CamiloGuzmanSa @petrogustavo Jajajaja...muy buena..🇨🇴🇨🇴;, 1
"RT @GustavoRugeles: \Cuando gane la presidencia le pago los $120 millones\"". @nicolaspetroB cuadra sus cuentas para luego de elecciones.";, 1
"E…""";,-1
"RT @JavierAdaime: Descripción gráfica de la entrevista del cuñado de @IvanDuque ; @NestorMoralesC a @petrogustavo .
Peinada total!!
¡¡Sigui…";, 1
Nada que hacer @NestorMoralesC era considerado buen periodista por la opinión pública pero se tiró la credibilidad… https://t.co/YX6vimkJsh;,-1
 @RevistaSemana @JuanarioMedina @petrogustavo Pues que también lo denuncie o es que porque lo hace él le… https://t.co/cVN8kl08ND;,-1
"#eldebate es ahora una tendencia en #Bogotã

https://t.co/jeEs61DpFs https://t.co/r2PMiEORnz";, 1
 Estos son las encuestas dela Colombia humana Petro presidente en 1  BUELTA;, 1
RT @MovimientoMAIS: Estamos desde la sabiduria ancestral y por nuestras semillas de paz con @petrogustavo porque #PetroEsMais @marthaperalt…;, 1
"RT @VLADDO: Es ingenuo —absurdo incluso— pensar que el antídoto contra @AlvaroUribeVel es @petrogustavo; y viceversa.
Esa no puede ser la…";, 1
 hoy actuó con @petrogustavo  como las vecinas que se reunen con otra a la que no quieren le preguntan… https://t.co/YLkB39wgii;, 1
Que penita esta gente https://t.co/DAZ80mLDhX;, 1
RT @Teticaida: Hola @petrogustavo ya voté por ti. 😍 Hola @angelamrobledo ya voté por ti también 😍 https://t.co/xgEUipGIf2;, 1
 @zoranstojanovs2 @chontrixxx @ColombiaHumana_ @petrogustavo Duque sigue las mismas ideas del gobie… https://t.co/JTX8LTBalO;, 1
La canción que McCartney le tocó a Lennon y a Harrison en un bus de Liverpool para demostrarles de que estaba hecho… https://t.co/uwg2UV2gtQ;, 1
RT @IohannGO: Desde Calgary Canadá feliz de haber votado por primera vez y con amor alegria y esperanza por @petrogustavo.  Viva Colombi…;, 1
 @GABOZARRATE @petrogustavo Confirmada mi duda  no fue' él quien lo denunció y la investigación no ha con… https://t.co/ohH9pkDloL;,-1
RT @AUGUSTOOCAMPO: Y la sanión disciplinaria que procede ??? ahhh no verdad que no es @petrogustavo   https://t.co/DDMPT7YulY vía @elespect…;,-1
Juguemos a que usted le da FAV y yo la stalkeo bien rico 🤤�;,-1
RT @A_OrdonezM: Petro es Maduro. No se dejen engañar. Si no estuviera a pocos días de elecciones el comandante Aureliano estaría festejand…;,-1
"RT @alexdarq: #PetroEnBLU que credibilidad se le puede tener al cuñado de Ivan Duque @NestorMoralesC entrevistando a @petrogustavo;""
PARCIAL…";, 1
Claro nunca lo hemos escuchado hablar sobre su salario de senador como lo compartio con los menos necesitados? No h… https://t.co/xJB6YwS640;,-1
"RT @EIExpedienteCol: \Cuando mi papá gane la presidencia le pago los $120 millones\"" Nicolas Petro cuadra sus cuentas para luego de eleccion…""";,-1
 @CamiloMarino @petrogustavo @BluRadioCo José ya ni siquiera escucho la radio. Y tú sabes como amaba yo ese medio;,-1
"RT @tikopineda: ULTIMA HORA

Cierran cuenta de Twitter de alias “Popeye” por amenazas contra el candidato presidencial @petrogustavo . 

AT…";, 1
 @petrogustavo Que cosa tan hp con este periodismo mediocre. Uribe es el único que no ha mostrado el l… https://t.co/MxkSBe2ZYn;, 1
